"title","rating","release year","release on Netflix"
"Kubo and the Two Strings","PG","2016","2016"
"Kulipari: An Army of Frogs","TV-Y7-FV","2016","2016"
"Kung Fu Panda","PG","2008","2008"
"Kung Fu Panda 3","PG","2016","2016"
"Kurt Seyit & Sura","TV-14","2014","2014"
"Lab Rats","TV-Y7","2016","2016"
"Larva","TV-G","2015","2015"
"Last Man Standing","TV-PG","2015","2015"
"Law & Order: Special Victims Unit","TV-14","2015","2015"
"Lazy Eye","TV-MA","2016","2016"
"LeapFrog: The Amazing Alphabet Amusement Park","TV-Y","2010","2010"
"LEGO Bionicle: The Journey to One","TV-Y7-FV","2016","2016"
"Lego DC Comics: Batman Be-Leaguered","TV-Y7","2014","2014"
"LEGO Jurassic World: The Indominus Escape","TV-Y7","2016","2016"
"LEGO Ninjago: Masters of Spinjitzu","TV-Y7-FV","2015","2015"
"LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja","TV-Y7-FV","2011","2011"
"LEGO: Marvel Super Heroes: Maximum Overload","TV-Y7-FV","2013","2013"
"Leverage","TV-PG","2012","2012"
"Lie to Me","TV-14","2010","2010"
"Life in Pieces","TV-14","2015","2015"
"Life Unexpected","TV-PG","2010","2010"
"Like Cotton Twines","NR","2016","2016"
"Lilo & Stitch","PG","2002","2002"
"Lilo & Stitch 2: Stitch Has A Glitch","PG","2005","2005"
"Limitless","TV-14","2016","2016"
"Little Baby Bum: Nursery Rhyme Friends","TV-Y","2016","2016"
"Little Boxes","TV-14","2016","2016"
"Little Einsteins","TV-Y","2007","2007"
"London Has Fallen","R","2016","2016"
"Longmire","TV-14","2016","2016"
"Lost","TV-14","2010","2010"
"Lottie Dottie Chicken","TV-Y","2009","2009"
"Louis C.K. 2017","TV-MA","2017","2017"
"Love","TV-MA","2017","2017"
"Lovesick","TV-MA","2016","2016"
"Lucky Number Slevin","R","2006","2006"
"Luther","TV-14","2015","2015"
"Mad Men","TV-14","2014","2014"
"Madam Secretary","TV-14","2016","2016"
"Magic Mike","R","2012","2012"
"Marvel Super Hero Adventures: Frost Fight!","PG","2015","2015"
"Marvel's Agents of S.H.I.E.L.D.","TV-PG","2016","2016"
"Marvel's Hulk: Where Monsters Dwell","PG","2016","2016"
"Marvel's Iron Fist","TV-MA","2017","2017"
"Marvel's Jessica Jones","TV-MA","2015","2015"
"Marvel's Luke Cage","TV-MA","2016","2016"
"Masha and the Bear","TV-Y","2013","2013"
"Master of None","TV-MA","2015","2015"
"Max Steel","TV-Y7-FV","2014","2014"
"Mean Girls 2","PG-13","2011","2011"
"Meet the Blacks","R","2016","2016"
"Merl├î?","TV-PG","2015","2015"
"Mia and Me","TV-Y","2015","2015"
"Mickey's Twice Upon a Christmas","G","2004","2004"
"Mighty Morphin Power Rangers","TV-Y7-FV","2010","2010"
"Minimalism: A Documentary About the Important Things","TV-PG","2016","2016"
"Minions","PG","2015","2015"
"Missione Hamburger","PG","1997","2015"
"Monster Math Squad","TV-G","2012","2012"
"Mother Goose Club","TV-Y","2016","2016"
"Mr. Magoo","PG","1997","2016"
"Mulan 2","G","2004","2004"
"My Animal Friends","TV-Y","2013","2013"
"Nancy Drew","PG","2007","2007"
"Narcos","TV-MA","2016","2016"
"Naruto","TV-PG","2008","2008"
"NCIS","TV-14","2016","2016"
"New Girl","TV-14","2016","2016"
"Nexo Knights","TV-Y7-FV","2015","2015"
"Ninja Turtles: The Next Mutation","TV-Y7-FV","1997","2019"
"No Tomorrow","TV-14","2016","2016"
"November Rule","TV-14","2015","2015"
"Nurse Jackie","TV-MA","2015","2015"
"Nymphomaniac: Volume 1","NR","2013","2013"
"O Amor no Div├î┬ú","TV-MA","2016","2016"
"Octonauts","TV-Y","2015","2015"
"Once Upon a Time","TV-PG","2016","2016"
"One Day at a Time","TV-PG","2017","2017"
"One Tree Hill","TV-14","2011","2011"
"Only for One Night","TV-MA","2016","2016"
"Open Season: Scared Silly","PG","2015","2015"
"Opera├î┬ñ├î┬╡es Especiais","TV-MA","2015","2015"
"Orange Is the New Black","TV-MA","2016","2016"
"Oscar's Oasis","TV-G","2011","2011"
"Pac-Man and the Ghostly Adventures","TV-Y7","2014","2014"
"Paddington","PG","2014","2014"
"Pandora","TV-MA","2016","2016"
"Parenthood","TV-14","2014","2014"
"Parks and Recreation","TV-14","2015","2015"
"Paulie","PG","1998","2016"
"Person of Interest","TV-14","2016","2016"
"Pet Pals in Windland","TV-G","2014","2014"
"Pete's Dragon","PG","2016","2016"
"Phineas and Ferb","TV-G","2012","2012"
"Pocahontas II: Journey to a New World","TV-G","1998","2016"
"Pocoyo","TV-Y","2007","2007"
"Pok├î┬⌐mon: Indigo League","TV-Y","2000","2014"
"Pok├î┬⌐mon: XY","TV-Y7-FV","2015","2015"
"Pooh's Grand Adventure: The Search for Christopher Robin","G","1997","2016"
"Pooh's Heffalump Movie","G","2005","2005"
"PopPixie","TV-G","2011","2011"
"Portlandia","TV-14","2016","2016"
"Pound Puppies","TV-Y","2013","2013"
"Power Rangers Dino Charge","TV-Y7","2015","2015"
"Power Rangers Dino Super Charge","TV-Y7","2016","2016"
"Power Rangers Super Megaforce","TV-Y7","2014","2014"
"Power Rangers Zeo","TV-Y7-FV","1996","2020"
"Precious Puppies","TV-G","2003","2003"
"Pretty Little Liars","TV-14","2016","2016"
"Prison Break","TV-14","2008","2008"
"Private Practice","TV-14","2012","2012"
"Puffin Rock","TV-Y","2016","2016"
"Pup Star","G","2016","2016"
"Quackerz","PG","2016","2016"
"Quantico","TV-14","2016","2016"
"Queen of Katwe","PG","2016","2016"
"Raising Hope","TV-14","2013","2013"
"Ratchet and Clank","PG","2016","2016"
"Recess: Taking the Fifth Grade","G","2003","2003"
"Rectify","TV-14","2016","2016"
"Reign","TV-14","2015","2015"
"Revenge","TV-PG","2015","2015"
"Ribbit","PG","2014","2014"
"Ripper Street","TV-MA","2016","2016"
"Robocar Poli","TV-Y","2012","2012"
"Rooster Doodle-doo","TV-G","2014","2014"
"Rosewood","TV-14","2015","2015"
"Russell Madness","PG","2015","2015"
"Safe Haven","PG-13","2013","2013"
"Salvador Martinha - Tip of the Tongue","TV-MA","2016","2016"
"Sammy 2","TV-PG","2012","2012"
"Sand Castle","TV-MA","2017","2017"
"Sandy Wexler","TV-14","2017","2017"
"Santa Clarita Diet","TV-MA","2017","2017"
"Sausage Party","R","2016","2016"
"Scandal","TV-14","2016","2016"
"Schitt's Creek","TV-14","2016","2016"
"Scooby-Doo","PG","2002","2002"
"Scooby-Doo 2: Monsters Unleashed","PG","2004","2004"
"Scream","TV-14","2016","2016"
"Secret of the Wings","G","2012","2012"
"Sense8","TV-MA","2017","2017"
"Sex, Love and Therapy","NR","2014","2014"
"Shameless (U.S.)","TV-MA","2016","2016"
"Sherlock","TV-14","2016","2016"
"Sid the Science Kid","TV-Y","2008","2008"
"Sid the Science Kid: The Movie","TV-Y","2012","2012"
"Skin Wars","TV-14","2016","2016"
"Skins","TV-MA","2013","2013"
"Skins","TV-MA","2017","2017"
"Skylanders Academy","TV-Y7","2016","2016"
"Slam","TV-MA","2017","2017"
"Slugterra: Slug Fu Showdown","TV-Y7-FV","2015","2015"
"Sofia the First","TV-Y","2015","2015"
"Some Assembly Required","TV-G","2015","2015"
"Spy Kids 3: Game Over","PG","2003","2003"
"Star Wars: The Clone Wars","PG","2008","2008"
"Star Wars: The Clone Wars","TV-PG","2014","2014"
"StarStruck","TV-G","2010","2010"
"Step Dogs","TV-PG","2013","2013"
"Step Up","PG-13","2006","2006"
"Stranger Things","TV-14","2016","2016"
"Stronger Than the World","NR","2016","2016"
"Super Buddies","G","2013","2013"
"Super Why!","TV-Y","2015","2015"
"Supernatural","TV-14","2016","2016"
"Switched at Birth","TV-14","2015","2015"
"Tad: The Lost Explorer","TV-PG","2012","2012"
"Talking Tom and Friends","TV-G","2016","2016"
"Tarzan","G","1999","2017"
"Tarzan & Jane","G","2002","2002"
"Tayo the Little Bus","TV-Y","2014","2014"
"Teenage Mutant Ninja Turtles","PG","2007","2007"
"That '70s Show","TV-14","2005","2005"
"The 100","NR","2016","2016"
"The Adventures of Chuck & Friends","TV-Y","2011","2011"
"The Adventures of Figaro Pho","TV-Y7","2015","2015"
"The Adventures of Puss in Boots","TV-Y7-FV","2016","2016"
"The Angriest Man in Brooklyn","R","2014","2014"
"The Angry Birds Movie","PG","2016","2016"
"The Batman","TV-Y7","2007","2007"
"The Benchwarmers","PG-13","2006","2006"
"The BFG","PG","2016","2016"
"The Blacklist","TV-14","2016","2016"
"The Boxcar Children","G","2014","2014"
"The Brave Little Toaster Goes to Mars","G","1998","2014"
"The Brave Little Toaster to the Rescue","G","1997","2018"
"The Brothers","R","2001","2002"
"The Carmichael Show","TV-14","2016","2016"
"The Carrie Diaries","TV-14","2013","2013"
"The Cat in the Hat Knows a Lot About That!","TV-Y","2014","2014"
"The Cleveland Show","TV-14","2012","2012"
"The Client List","TV-14","2013","2013"
"The Crown","TV-MA","2016","2016"
"The Deep","TV-Y7","2015","2015"
"The Discovery","TV-MA","2017","2017"
"The Do-Over","TV-MA","2016","2016"
"The Doctor Blake Mysteries","TV-MA","2016","2016"
"The Emperor's New Groove","G","2000","2016"
"The Fall","TV-MA","2016","2016"
"The Flash","TV-PG","2016","2016"
"The Following","TV-14","2015","2015"
"The Fosters","TV-14","2016","2016"
"The Fox and the Hound 2","G","2006","2006"
"The Furchester Hotel","TV-Y","2015","2015"
"The Get Down","TV-MA","2017","2017"
"The Girl in the Book","TV-MA","2015","2015"
